pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_rade
TOI-1408 c,1,2,2.1664,0.0001,-0.0001,0,0.03587,8e-05,-8e-05,0,7.6,0.2,-0.2,0.0,0.02391227,0.00062927,-0.00062927,0.0,0.1353,0.0001,-0.0001,0.0,F8 V,6117.0,31.0,-31.0,0,1.53,0.02,-0.02,0,1.312,0.009,-0.009,0,0.25,0.06,-0.06,0.0,[Fe/H],4.1,0.06,-0.06,0.0,9.270001,0.003,-0.003,8.078,0.02,-0.02,9.18795,0.000223,-0.000223,2.22
TOI-1416 b,1,1,1.0697568,2.8e-06,-2.8e-06,0,0.019,0.0003,-0.0003,0,3.48,0.47,-0.47,0.0,0.0109493,0.00147879,-0.00147879,0.0,0.0,,,0.0,G9 V,4884.0,70.0,-70.0,0,0.793,0.036,-0.028,0,0.798,0.035,-0.044,0,0.08,0.05,-0.05,0.0,[Fe/H],4.52,0.05,-0.05,0.0,9.91,0.03,-0.03,7.708,0.024,-0.024,9.65254,0.000226,-0.000226,1.62
TOI-1422 b,1,2,12.9972,0.0006,-0.0006,0,0.108,0.003,-0.003,0,9.0,2.3,-2.0,0.0,0.02831717,0.00723661,-0.0062927,0.0,0.04,0.05,-0.03,0.0,G2 V,5840.0,62.0,-62.0,0,1.019,0.014,-0.013,0,0.981,0.062,-0.065,0,-0.09,0.07,-0.07,0.0,[Fe/H],4.41,0.11,-0.11,0.0,10.622,0.007,-0.007,9.19,0.022,-0.022,10.5521,0.000231,-0.000231,3.83
TOI-1431 b,1,1,2.650237,3e-06,-3e-06,0,0.046,0.002,-0.002,0,991.6246298,57.20911326,-57.20911326,0.0,3.12,0.18,-0.18,0.0,0.0022,0.003,-0.0016,0.0,Am C,7690.0,400.0,-250.0,0,1.92,0.07,-0.07,0,1.9,0.1,-0.08,0,0.09,0.03,-0.03,0.0,[Fe/H],4.15,0.04,-0.04,0.0,8.03,0.03,-0.03,7.439,0.029,-0.029,7.97561,0.000252,-0.000252,16.70138124
TOI-1438 b,1,2,5.13967,3e-06,-3e-06,0,0.0553,0.0015,-0.0015,0,9.4,1.8,-1.8,0.0,0.02957571,0.00566343,-0.00566343,0.0,0.0,,,0.0,K0 V,5230.0,60.0,-60.0,0,0.82,0.017,-0.017,0,0.876,0.038,-0.038,0,0.03,0.06,-0.06,0.0,[Fe/H],4.5,0.07,-0.07,0.0,10.957,0.014,-0.014,9.09,0.02,-0.02,10.8549,0.000277,-0.000277,3.04
TOI-1438 c,1,2,9.428089,1e-06,-1e-06,0,0.083,0.003,-0.003,0,10.6,2.1,-2.1,0.0,0.03335133,0.00660734,-0.00660734,0.0,0.0,,,0.0,K0 V,5230.0,60.0,-60.0,0,0.82,0.017,-0.017,0,0.876,0.038,-0.038,0,0.03,0.06,-0.06,0.0,[Fe/H],4.5,0.07,-0.07,0.0,10.957,0.014,-0.014,9.09,0.02,-0.02,10.8549,0.000277,-0.000277,2.75
TOI-1452 b,2,1,11.06201,2e-05,-2e-05,0,0.061,0.003,-0.003,0,4.82,1.3,-1.3,0.0,0.01516542,0.00409026,-0.00409026,0.0,0.0,,,0.0,M4 +/- 0.5 V,3185.0,50.0,-50.0,0,0.275,0.009,-0.009,0,0.249,0.008,-0.008,0,-0.07,0.02,-0.02,0.0,[M/H],4.95,0.03,-0.03,0.0,14.354,0.121,-0.121,9.74,0.046,-0.046,13.6233,0.000469,-0.000469,1.672
TOI-1470 b,1,2,2.527093,4e-06,-3e-06,0,0.0285,0.0004,-0.0004,0,7.32,1.21,-1.24,0.0,0.0230313,0.00380709,-0.00390148,0.0,0.3,,,1.0,M1.5 V,3709.0,11.0,-11.0,0,0.469,0.003,-0.003,0,0.471,0.011,-0.011,0,0.0,0.03,-0.03,0.0,[Fe/H],4.77,0.02,-0.02,0.0,13.459,0.036,-0.036,9.283,0.02,-0.02,12.5555,0.000285,-0.000285,2.18
TOI-1470 c,1,2,18.08816,6e-05,-8e-05,0,0.106,0.001,-0.001,0,7.24,2.87,-2.77,0.0,0.02277959,0.00903003,-0.00871539,0.0,0.5,,,1.0,M1.5 V,3709.0,11.0,-11.0,0,0.469,0.003,-0.003,0,0.471,0.011,-0.011,0,0.0,0.03,-0.03,0.0,[Fe/H],4.77,0.02,-0.02,0.0,13.459,0.036,-0.036,9.283,0.02,-0.02,12.5555,0.000285,-0.000285,2.47
TOI-150.01,1,1,5.857487,8.9e-05,-9.7e-05,0,0.07037,0.00087,-0.00088,0,797.7533,38.1396,-38.1396,0.0,2.51,0.12,-0.12,0.0,0.262,0.045,-0.037,0.0,F,6255.0,90.0,-90.0,0,1.526,0.012,-0.012,0,1.351,0.038,-0.026,0,0.28,0.036,-0.036,0.0,[Fe/H],4.13,0.009,-0.009,0.0,11.39,0.015,-0.015,9.94,0.019,-0.019,11.3408,0.000316,-0.000316,14.067295
