pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD+20 2457 c,1,2,621.99,10.2,-10.2,0,2.01,,,0,3963.17,,,0,12.47,,,0,0.18,0.06,-0.06,0,K2 II,4137,10,-10,0,49,26,-26,0,2.8,1.5,-1.5,0,-1,0.07,-0.07,0,[Fe/H],1.51,0.05,-0.05,0,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442
BD+20 274 b,1,1,578.2,5.4,-5.4,0,1.3,,,0,1334.886,,,0,4.2,,,0,0.21,0.06,-0.06,0,K5 III,4296,10,-10,0,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0,-0.46,0.07,-0.07,0,[Fe/H],1.99,0.05,-0.05,0,9.367,0.008,-0.008,6.169,0.027,-0.027,8.91613,0.000468,-0.000468
BD+20 594 b,1,1,41.6855,0.003,-0.0031,0,0.241,0.019,-0.017,0,16.3,6,-6.1,0,0.05128528,0.01887802,-0.01919265,0,0,,,0,G,5766,99,-99,0,0.928,0.055,-0.04,0,0.961,0.032,-0.029,0,-0.15,0.05,-0.05,0,[Fe/H],4.5,0.08,-0.08,0,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249
BD+48 738 b,1,1,392.6,5.5,-5.5,0,1,,,0,289.2253,,,0,0.91,,,0,0.2,0.1,-0.1,0,K0 III,4414,15,-15,0,11,1,-1,0,0.74,0.39,-0.39,0,-0.2,0.07,-0.07,0,[Fe/H],2.24,0.06,-0.06,0,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365
BD+49 828 b,1,1,2590,300,-180,0,4.2,0.32,-0.2,0,508.5,127.1,-63.6,0,1.6,0.4,-0.2,0,0.35,0.24,-0.1,0,K0,4943,30,-30,0,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0,-0.19,0.06,-0.06,0,[Fe/H],2.85,0.09,-0.09,0,9.381,0.005,-0.005,6.571,0.021,-0.021,9.02851,0.000235,-0.000235
BD-11 4672 b,1,2,1667,33,-31,0,2.28,0.07,-0.07,0,168.44,15.89,-15.89,0,0.53,0.05,-0.05,0,0.05,0.06,-0.04,0,K7 V,4475,100,-100,0,0.52,0.02,-0.02,0,0.571,0.014,-0.014,0,-0.48,0.05,-0.05,0,[Fe/H],4.1,0.36,-0.36,0,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518
BD-17 63 b,1,1,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,1620.9,38.14,-38.14,0,5.1,0.12,-0.12,0,0.54,0.005,-0.005,0,K5 V,4714,93,-93,0,0.69,,,0,0.74,0.03,-0.03,0,-0.03,0.06,-0.06,0,[Fe/H],4.26,0.24,-0.24,0,9.62,0.03,-0.03,6.914,0.024,-0.024,9.20112,0.000514,-0.000514
BD-210397 b,1,2,1891,56,-48,0,2.63,0.06,-0.05,0,214,31,-32,0,0.7,0.1,-0.1,0,0.1,0.1,-0.1,0,K7 V,4051,239,-239,0,0.747,0.088,-0.088,0,0.679,0.017,-0.017,0,0.12,0.1,-0.1,0,[Fe/H],4.67,0.06,-0.06,0,9.84,0.03,-0.03,6.504,0.018,-0.018,9.25962,0.000826,-0.000826
BD-210397 c,1,2,6360,6260,-711,0,5.9,3.4,-0.5,0,759,485,-76,0,2.4,1.5,-0.2,0,0.1,0.2,-0.1,0,K7 V,4051,239,-239,0,0.747,0.088,-0.088,0,0.679,0.017,-0.017,0,0.12,0.1,-0.1,0,[Fe/H],4.67,0.06,-0.06,0,9.84,0.03,-0.03,6.504,0.018,-0.018,9.25962,0.000826,-0.000826
Barnard b,1,4,3.1533,0.0006,-0.0006,0,0.02294,0.00033,-0.00033,0,0.37,0.05,-0.05,0,0.00116415,0.00015732,-0.00015732,0,0.16,,,1,M3.5-4 V,3195,28,-28,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0,[Fe/H],4.9,0.09,-0.09,0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998
Barnard c,1,4,4.1244,0.0006,-0.0006,0,0.0274,0.0004,-0.0004,0,0.335,0.03,-0.03,0,0.00105403,0.00009439,-0.00009439,0,0.08,0.06,-0.05,0,M3.5-4 V,3195,28,-28,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0,[Fe/H],4.9,0.09,-0.09,0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998
